id,device_id,name,lat,lng,address
20151,003T1237,新地苑,31.228014,121.497779,新地苑
20152,003T1329,中恒,31.224913,121.504212,巡道街99号
20154,003T1159,面筋弄,31.225997,121.505469,面筋弄23号
20155,003T1167,浦江公馆,31.225856,121.400847,中华路168弄
20156,003T1176,老西门公寓,31.219892,121.488932,建国新路77弄
20157,003T1196,河南309,31.230464,121.495263,河南南路309弄1号
20158,003T1203,东街口,31.227657,121.503604,复兴东路东街口
20159,003T1204,华润外滩九里,31.225795,121.512553,毛家园路
20160,003T3004,海丽,31.209701,121.47602,打浦路80号
20161,003T1386,五里桥,31.209705,121.488012,五里桥路188弄6号对面
20162,003T3035,瑞金南路185弄,31.206107,121.475441,瑞金南路185弄
20163,003T3037,翠湖天地苑,31.224435,121.485813,自忠路321号
20164,003T3059,赢通绿地,31.212423,121.479407,开平路88号围墙跟地下车库入口旁边
20165,003T2046,三和花园,31.234783,121.446452,三和花园
20176,003T1257,长新大楼,31.244248,121.477633,新闸路长沙路
20177,003T1143,海潮路国货路,31.207878,121.523208,海潮路国货路（南浦大桥下）
20178,003T1350,黄浦湾,31.227294,121.504111,中山南路566弄(近白渡路紫霞路）
20179,003T3070,香港新世界花园,31.214545,121.489694,中山南路500号（制造局路）
20180,003T1220,尚文中学,31.223973,121.507971,紫霞路
20181,003T2042,华敏帝豪大厦(炉),31.237369,121.462971,北京西路958号（江宁路以东）
20182,003T2043,华敏帝豪大厦(灶),31.238331,121.450055,北京西路958号（江宁路以东）
20183,003T2045,静安豪景苑,31.23908,121.45339,西康路501弄（康定路大门进）
20184,003T3065,金叠房产,30.896729,121.0627,鲁班路611号（中山路 马路东北角）
20185,003T3066,金叠房产,30.896729,121.0627,鲁班路611号（中山路 马路东北角）
20186,003T1215,敬业中学,31.218451,121.499827,尚文路75号（河南南路）
20187,003T1216,黄埔早期教育,31.218451,121.499827,尚文路75号（河南南路）
20189,JAZ00002,澳门路698弄10号,31.249827,121.44235,澳门路698弄10号
20191,003T1242,三角大楼,31.214953,121.507952,陆家浜路285弄
20192,JAZ00003,复兴东路1055弄6号,31.225861,121.491779,复兴东路1055弄6号
20193,JAZ00004,广东路414弄27号对面,31.238709,121.489802,广东路414弄27号对面
20194,003T1325,北京河南,31.24443,121.488191,河南南路宁波路口
20195,003T1296,西藏稳德福,31.244616,121.502261,西藏中路725弄花园内
20198,003T2080,泰府名邸,31.238559,121.444323,康定路70号
20199,003T1177,香港名都,31.228289,121.496477,河南南路489号
20200,003T3008,高城苑,31.214029,121.489177,丽园路448号
20201,003T1324,河南福州,31.241165,121.492877,河南中路280号
20203,003T1036,城城宾馆,31.233517,121.491618,人民路833号
20204,003T1233,东亚饭店,31.241607,121.484041,南京东路680号
20205,003T1232,裕德池,31.242034,121.484242,天津路479号
20206,003T1225,上海华东置业商厦,31.242439,121.489387,南京东路383号
20207,003T1226,上海华东置业商厦,31.242439,121.489387,南京东路383号
20208,003T1078,协通国际大酒店,31.2462,121.488835,北京东路398号
20209,003T1079,协通国际大酒店,31.2462,121.488835,北京东路398号
20210,003T1084,港博大厦,31.245149,121.484997,九江路668号
20211,003T1085,世福汇大酒店,31.197542,121.462174,广东路353号
20212,003T1086,世福汇大酒店,31.197542,121.462174,广东路353号
20213,003T1090,天安大厦,31.237406,121.476162,南京西路338号
20214,003T1091,天安大厦,31.237406,121.476162,南京西路338号
20215,003T1105,上海智富休闲广场,31.238853,121.475912,新昌路80号
20216,003T1106,上海智富休闲广场,31.238853,121.475912,新昌路80号
20218,003T1331,中山南路临江花园,31.219091,121.513728,中山南路865弄
20219,003T1330,中山南路临江花园,31.219091,121.513728,中山南路865弄
20220,003T1150,上海城隍庙广场置业有限公司,31.230601,121.498054,方浜中路280号
20221,003T1153,上海海怡大厦,31.246645,121.481248,南苏州路933号
20222,003T1162,王宝和大酒店,31.24102,121.488011,九江路505号
20223,003T1118,华盛大厦,31.241334,121.489222,汉口路400号
20224,003T1170,金欣联合发展公司海欣大厦,31.238422,121.484331,福州路666号
20225,003T1171,金欣联合发展公司海欣大厦,31.238422,121.484331,福州路666号
20226,003T1207,雅乐居地产,31.243086,121.479994,西藏中路559号
20227,003T1208,雅乐居地产,31.243086,121.479994,西藏中路559号
20228,003T1213,金外滩宾馆,31.237735,121.488063,北海路38号
20229,003T3067,上海金叠房地产开发有限公司,30.896729,121.0627,鲁班路611号
20230,003T3053,香港新世纪大厦,31.202467,121.488918,蒙自路763号
20231,003T1403,尚文路,31.221253,121.499461,河南南路747号
20232,003T3063,城汇大厦,31.224821,121.476955,南昌路45号
20233,003T3064,城汇大厦,31.224821,121.476955,南昌路45号
20234,003T1248,茂名南路9号,31.228071,121.467443,茂名南路9号
20235,003T2040,远中风华园,31.241108,121.462164,新闸路1068弄
20236,003T2041,远中风华园,31.241108,121.462164,新闸路1068弄
20237,003T2013,云峰剧场,31.232909,121.449303,北京西路1700号
20238,003T2014,肆和小区,31.232668,121.446586,新闸路1970号
20239,003T2026,越洋广场,31.230405,121.453525,南京西路1600号
